Size,Iterations,Algorithm,Data Shape,Avg Time (s),Status
1000,1000,Selection Sort,Sorted Ints,0.010591,Success
1000,1000,Insertion Sort,Sorted Ints,0.000051,Success
1000,1000,Bubble Sort,Reverse Sorted,0.031691,Success
1000,1000,Selection Sort,Reverse Sorted,0.012075,Success
1000,1000,Insertion Sort,Reverse Sorted,0.021202,Success
1000,1000,Bubble Sort,Almost Sorted,0.013040,Success
1000,1000,Selection Sort,Almost Sorted,0.010767,Success
1000,1000,Insertion Sort,Almost Sorted,0.000624,Success
1000,1000,Bubble Sort,Half Sorted,0.018864,Success
1000,1000,Selection Sort,Half Sorted,0.011203,Success
1000,1000,Insertion Sort,Half Sorted,0.005632,Success
1000,1000,Bubble Sort,Flat (Few Unique),0.021148,Success
1000,1000,Selection Sort,Flat (Few Unique),0.010001,Success
1000,1000,Insertion Sort,Flat (Few Unique),0.008598,Success
1000,1000,Bubble Sort,Floats,0.024562,Success
1000,1000,Selection Sort,Floats,0.011155,Success
1000,1000,Insertion Sort,Floats,0.011186,Success
1000,1000,Bubble Sort,Strings,0.028938,Success
1000,1000,Selection Sort,Strings,0.014841,Success
1000,1000,Insertion Sort,Strings,0.013559,Success
5000,1,Bubble Sort,Random Ints,0.715573,Success
5000,1,Selection Sort,Random Ints,0.302504,Success
5000,1,Insertion Sort,Random Ints,0.309387,Success
5000,1,Bubble Sort,Sorted Ints,0.000154,Success
5000,1,Selection Sort,Sorted Ints,0.277812,Success
5000,1,Insertion Sort,Sorted Ints,0.000280,Success
5000,1,Bubble Sort,Reverse Sorted,0.842485,Success
5000,1,Selection Sort,Reverse Sorted,0.307052,Success
5000,1,Insertion Sort,Reverse Sorted,0.585662,Success
5000,1,Bubble Sort,Almost Sorted,0.382749,Success
5000,1,Selection Sort,Almost Sorted,0.278856,Success
5000,1,Insertion Sort,Almost Sorted,0.016094,Success
5000,1,Bubble Sort,Half Sorted,0.570944,Success
5000,1,Selection Sort,Half Sorted,0.289084,Success
5000,1,Insertion Sort,Half Sorted,0.159837,Success
5000,1,Bubble Sort,Flat (Few Unique),0.561818,Success
5000,1,Selection Sort,Flat (Few Unique),0.251952,Success
5000,1,Insertion Sort,Flat (Few Unique),0.220446,Success
5000,1,Bubble Sort,Floats,0.648449,Success
5000,1,Selection Sort,Floats,0.269963,Success
5000,1,Insertion Sort,Floats,0.287084,Success
5000,1,Bubble Sort,Strings,0.796443,Success
5000,1,Selection Sort,Strings,0.386663,Success
5000,1,Insertion Sort,Strings,0.336754,Success
10000,100,Bubble Sort,Random Ints,2.817410,Success
10000,100,Selection Sort,Random Ints,1.211989,Success
10000,100,Insertion Sort,Random Ints,1.249953,Success
10000,100,Bubble Sort,Sorted Ints,0.000318,Success
10000,100,Selection Sort,Sorted Ints,1.148715,Success
10000,100,Insertion Sort,Sorted Ints,0.000571,Success
10000,100,Bubble Sort,Reverse Sorted,3.575475,Success
10000,100,Selection Sort,Reverse Sorted,1.241382,Success
10000,100,Insertion Sort,Reverse Sorted,2.393504,Success
10000,100,Bubble Sort,Almost Sorted,1.659107,Success
10000,100,Selection Sort,Almost Sorted,1.134415,Success
10000,100,Insertion Sort,Almost Sorted,0.062740,Success
10000,100,Bubble Sort,Half Sorted,2.236838,Success
10000,100,Selection Sort,Half Sorted,1.161338,Success
10000,100,Insertion Sort,Half Sorted,0.609187,Success
10000,100,Bubble Sort,Flat (Few Unique),2.568162,Success
10000,100,Selection Sort,Flat (Few Unique),1.105332,Success
10000,100,Insertion Sort,Flat (Few Unique),0.910009,Success
10000,100,Bubble Sort,Floats,2.839295,Success
10000,100,Selection Sort,Floats,1.135554,Success
10000,100,Insertion Sort,Floats,1.299037,Success
10000,100,Bubble Sort,Strings,3.099961,Success
10000,100,Selection Sort,Strings,1.578470,Success
10000,100,Insertion Sort,Strings,1.412671,Success
