Size,Iterations,Algorithm,Data Shape,Avg Time (s),Status
100000,10,Radix Sort,Sorted Ints,0.026104,Success
100000,10,Shell Sort,Reverse Sorted,0.126002,Success
100000,10,Heap Sort,Reverse Sorted,0.015742,Success
100000,10,Merge Sort,Reverse Sorted,0.144182,Success
100000,10,Quick Sort,Reverse Sorted,0.178144,Success
100000,10,Python Timsort,Reverse Sorted,0.000199,Success
100000,10,Radix Sort,Reverse Sorted,0.029882,Success
100000,10,Shell Sort,Almost Sorted,0.192681,Success
100000,10,Heap Sort,Almost Sorted,0.017518,Success
100000,10,Merge Sort,Almost Sorted,0.165961,Success
100000,10,Quick Sort,Almost Sorted,0.179722,Success
100000,10,Python Timsort,Almost Sorted,0.001561,Success
100000,10,Radix Sort,Almost Sorted,0.026115,Success
100000,10,Shell Sort,Half Sorted,0.247859,Success
100000,10,Heap Sort,Half Sorted,0.020595,Success
100000,10,Merge Sort,Half Sorted,0.160961,Success
100000,10,Quick Sort,Half Sorted,0.171370,Success
100000,10,Python Timsort,Half Sorted,0.004513,Success
100000,10,Radix Sort,Half Sorted,0.028035,Success
100000,10,Shell Sort,Flat (Few Unique),0.091716,Success
100000,10,Heap Sort,Flat (Few Unique),0.016842,Success
100000,10,Merge Sort,Flat (Few Unique),0.169915,Success
100000,10,Quick Sort,Flat (Few Unique),0.014963,Success
100000,10,Python Timsort,Flat (Few Unique),0.003143,Success
100000,10,Radix Sort,Flat (Few Unique),0.007969,Success
100000,10,Shell Sort,Floats,0.269930,Success
100000,10,Heap Sort,Floats,0.026967,Success
100000,10,Merge Sort,Floats,0.182937,Success
100000,10,Quick Sort,Floats,0.191825,Success
100000,10,Python Timsort,Floats,0.009331,Success
100000,10,Radix Sort,Floats,,Skipped — integers only
100000,10,Shell Sort,Strings,0.281341,Success
100000,10,Heap Sort,Strings,0.029454,Success
100000,10,Merge Sort,Strings,0.184215,Success
100000,10,Quick Sort,Strings,0.197580,Success
100000,10,Python Timsort,Strings,0.012887,Success
100000,10,Radix Sort,Strings,,Skipped — integers only
1000000,1,Shell Sort,Random Ints,5.474896,Success
1000000,1,Heap Sort,Random Ints,0.702888,Success
1000000,1,Merge Sort,Random Ints,2.303074,Success
1000000,1,Quick Sort,Random Ints,2.354785,Success
1000000,1,Python Timsort,Random Ints,0.118852,Success
1000000,1,Radix Sort,Random Ints,0.946802,Success
1000000,1,Shell Sort,Sorted Ints,0.918249,Success
1000000,1,Heap Sort,Sorted Ints,0.221269,Success
1000000,1,Merge Sort,Sorted Ints,1.743468,Success
1000000,1,Quick Sort,Sorted Ints,2.261300,Success
1000000,1,Python Timsort,Sorted Ints,0.001940,Success
1000000,1,Radix Sort,Sorted Ints,0.401351,Success
1000000,1,Shell Sort,Reverse Sorted,1.605143,Success
1000000,1,Heap Sort,Reverse Sorted,0.186822,Success
1000000,1,Merge Sort,Reverse Sorted,1.729589,Success
1000000,1,Quick Sort,Reverse Sorted,2.170643,Success
1000000,1,Python Timsort,Reverse Sorted,0.002493,Success
1000000,1,Radix Sort,Reverse Sorted,0.525976,Success
1000000,1,Shell Sort,Almost Sorted,4.233899,Success
1000000,1,Heap Sort,Almost Sorted,0.340856,Success
1000000,1,Merge Sort,Almost Sorted,2.650391,Success
1000000,1,Quick Sort,Almost Sorted,2.934113,Success
1000000,1,Python Timsort,Almost Sorted,0.029979,Success
1000000,1,Radix Sort,Almost Sorted,0.581251,Success
1000000,1,Shell Sort,Half Sorted,5.760343,Success
1000000,1,Heap Sort,Half Sorted,0.588599,Success
1000000,1,Merge Sort,Half Sorted,2.652308,Success
1000000,1,Quick Sort,Half Sorted,2.924203,Success
1000000,1,Python Timsort,Half Sorted,0.082965,Success
1000000,1,Radix Sort,Half Sorted,0.679132,Success
1000000,1,Shell Sort,Flat (Few Unique),1.514458,Success
1000000,1,Heap Sort,Flat (Few Unique),0.245548,Success
