Size,Iterations,Algorithm,Data Shape,Avg (ns),Avg (s),Std (ns),Min (ns),Max (ns),Status
30,100000,Merge Sort,Almost Sorted,17795.1,0.000017795,783.7,16750.0,47708.0,Success
30,100000,Insertion Sort,Almost Sorted,2638.9,0.000002639,672.9,1541.0,17250.0,Success
30,100000,Quick Sort,Almost Sorted,20021.9,0.000020022,2347.9,15708.0,73333.0,Success
30,100000,Timsort (built-in),Half Sorted,498.8,0.000000499,67.2,375.0,12833.0,Success
30,100000,Timsort (custom),Half Sorted,6792.8,0.000006793,939.1,3167.0,23916.0,Success
30,100000,Merge Sort,Half Sorted,18685.7,0.000018686,480.5,17708.0,55375.0,Success
30,100000,Insertion Sort,Half Sorted,6480.9,0.000006481,956.2,3250.0,41833.0,Success
30,100000,Quick Sort,Half Sorted,16404.3,0.000016404,1552.5,11250.0,49250.0,Success
30,100000,Timsort (built-in),Flat (Few Unique),717.0,0.000000717,68.2,541.0,14875.0,Success
30,100000,Timsort (custom),Flat (Few Unique),9856.3,0.000009856,1227.1,4958.0,28541.0,Success
30,100000,Merge Sort,Flat (Few Unique),19567.8,0.000019568,467.7,18375.0,51958.0,Success
30,100000,Insertion Sort,Flat (Few Unique),9649.4,0.000009649,1236.4,4375.0,29583.0,Success
30,100000,Quick Sort,Flat (Few Unique),7115.3,0.000007115,1943.4,4167.0,52000.0,Success
30,100000,Timsort (built-in),Floats,850.0,0.000000850,67.0,709.0,10916.0,Success
30,100000,Timsort (custom),Floats,11762.5,0.000011763,1268.5,6709.0,41375.0,Success
30,100000,Merge Sort,Floats,19608.8,0.000019609,461.5,18667.0,46125.0,Success
30,100000,Insertion Sort,Floats,11405.3,0.000011405,1262.9,6583.0,45583.0,Success
30,100000,Quick Sort,Floats,20306.9,0.000020307,2315.8,15625.0,72958.0,Success
30,100000,Timsort (built-in),Strings,1124.7,0.000001125,71.4,1000.0,8959.0,Success
30,100000,Timsort (custom),Strings,12606.9,0.000012607,1354.7,7042.0,39792.0,Success
30,100000,Merge Sort,Strings,19794.1,0.000019794,435.5,18792.0,44916.0,Success
30,100000,Insertion Sort,Strings,12333.0,0.000012333,1414.6,6750.0,53083.0,Success
30,100000,Quick Sort,Strings,20776.5,0.000020776,1478.1,16625.0,52709.0,Success
50,100000,Timsort (built-in),Random Ints,1401.0,0.000001401,101.1,1250.0,13250.0,Success
50,100000,Timsort (custom),Random Ints,21666.2,0.000021666,1399.1,16584.0,47667.0,Success
50,100000,Merge Sort,Random Ints,35777.9,0.000035778,647.5,34292.0,61000.0,Success
50,100000,Insertion Sort,Random Ints,29586.6,0.000029587,2634.3,19166.0,61083.0,Success
50,100000,Quick Sort,Random Ints,35437.3,0.000035437,2271.6,27833.0,65208.0,Success
50,100000,Timsort (built-in),Sorted Ints,178.1,0.000000178,60.1,125.0,10375.0,Success
50,100000,Timsort (custom),Sorted Ints,7022.9,0.000007023,253.8,6750.0,32333.0,Success
50,100000,Merge Sort,Sorted Ints,30843.8,0.000030844,605.1,29791.0,61000.0,Success
50,100000,Insertion Sort,Sorted Ints,2569.8,0.000002570,157.1,2416.0,13417.0,Success
50,100000,Quick Sort,Sorted Ints,36235.5,0.000036236,2689.9,29875.0,77167.0,Success
50,100000,Timsort (built-in),Reverse Sorted,186.8,0.000000187,59.5,125.0,8875.0,Success
50,100000,Timsort (custom),Reverse Sorted,33437.7,0.000033438,606.7,32666.0,62625.0,Success
50,100000,Merge Sort,Reverse Sorted,32011.5,0.000032011,619.7,31000.0,68333.0,Success
50,100000,Insertion Sort,Reverse Sorted,56438.4,0.000056438,881.6,55083.0,87041.0,Success
50,100000,Quick Sort,Reverse Sorted,35994.2,0.000035994,2662.3,29375.0,93375.0,Success
50,100000,Timsort (built-in),Almost Sorted,535.6,0.000000536,157.3,125.0,10375.0,Success
50,100000,Timsort (custom),Almost Sorted,8384.7,0.000008385,826.7,6833.0,29791.0,Success
50,100000,Merge Sort,Almost Sorted,31778.8,0.000031779,806.2,30084.0,60916.0,Success
50,100000,Insertion Sort,Almost Sorted,4217.1,0.000004217,1078.3,2500.0,30208.0,Success
50,100000,Quick Sort,Almost Sorted,36152.3,0.000036152,2653.7,29833.0,75125.0,Success
50,100000,Timsort (built-in),Half Sorted,870.6,0.000000871,63.3,708.0,11042.0,Success
50,100000,Timsort (custom),Half Sorted,14516.6,0.000014517,1043.3,10500.0,53708.0,Success
50,100000,Merge Sort,Half Sorted,33775.3,0.000033775,725.2,32458.0,71542.0,Success
50,100000,Insertion Sort,Half Sorted,15977.3,0.000015977,1992.2,8416.0,46459.0,Success
50,100000,Quick Sort,Half Sorted,30117.1,0.000030117,2293.9,21916.0,58959.0,Success
50,100000,Timsort (built-in),Flat (Few Unique),1333.3,0.000001333,105.7,1166.0,17750.0,Success
50,100000,Timsort (custom),Flat (Few Unique),19089.2,0.000019089,1365.6,14000.0,44833.0,Success
50,100000,Merge Sort,Flat (Few Unique),35732.4,0.000035732,913.5,33833.0,61791.0,Success
50,100000,Insertion Sort,Flat (Few Unique),24498.5,0.000024498,2598.7,13458.0,47333.0,Success
50,100000,Quick Sort,Flat (Few Unique),10031.8,0.000010032,1778.1,7417.0,57416.0,Success
50,100000,Timsort (built-in),Floats,1602.5,0.000001602,100.6,1417.0,12250.0,Success
50,100000,Timsort (custom),Floats,21872.1,0.000021872,1409.7,15625.0,52875.0,Success
50,100000,Merge Sort,Floats,35846.0,0.000035846,851.2,34333.0,111208.0,Success
50,100000,Insertion Sort,Floats,29796.3,0.000029796,2664.6,19625.0,53291.0,Success
50,100000,Quick Sort,Floats,36846.1,0.000036846,2653.0,30125.0,80291.0,Success
50,100000,Timsort (built-in),Strings,2126.4,0.000002126,97.8,1917.0,16583.0,Success
50,100000,Timsort (custom),Strings,23158.4,0.000023158,1575.6,17375.0,50875.0,Success
50,100000,Merge Sort,Strings,36259.8,0.000036260,694.4,34916.0,66791.0,Success
50,100000,Insertion Sort,Strings,32008.6,0.000032009,2878.7,20583.0,109500.0,Success
50,100000,Quick Sort,Strings,37702.6,0.000037703,2273.7,30125.0,68500.0,Success
100,100000,Timsort (built-in),Random Ints,3233.8,0.000003234,139.7,2916.0,17917.0,Success
100,100000,Timsort (custom),Random Ints,51545.5,0.000051545,2135.4,43500.0,83291.0,Success
100,100000,Merge Sort,Random Ints,80220.5,0.000080221,1531.9,77958.0,149166.0,Success
100,100000,Insertion Sort,Random Ints,112657.0,0.000112657,7387.6,82750.0,194042.0,Success
100,100000,Quick Sort,Random Ints,79296.0,0.000079296,4201.9,67167.0,109750.0,Success
100,100000,Timsort (built-in),Sorted Ints,273.7,0.000000274,64.4,208.0,9584.0,Success
100,100000,Timsort (custom),Sorted Ints,20285.0,0.000020285,435.6,19791.0,49542.0,Success
100,100000,Merge Sort,Sorted Ints,68579.1,0.000068579,1106.3,66750.0,181375.0,Success
100,100000,Insertion Sort,Sorted Ints,5008.2,0.000005008,221.1,4750.0,28959.0,Success
100,100000,Quick Sort,Sorted Ints,80465.8,0.000080466,4488.3,68084.0,130250.0,Success
100,100000,Timsort (built-in),Reverse Sorted,277.8,0.000000278,72.8,208.0,15334.0,Success
100,100000,Timsort (custom),Reverse Sorted,72737.3,0.000072737,883.3,71583.0,102750.0,Success
100,100000,Merge Sort,Reverse Sorted,70467.4,0.000070467,1251.4,68667.0,101708.0,Success
100,100000,Insertion Sort,Reverse Sorted,223962.7,0.000223963,3269.5,217666.0,335042.0,Success
100,100000,Quick Sort,Reverse Sorted,80136.6,0.000080137,4514.2,68083.0,139042.0,Success
