Size,Iterations,Algorithm,Data Shape,Avg (ns),Avg (s),Std (ns),Min (ns),Max (ns),Status
30,100000,Quick Sort,Random Ints,19596.5,0.000019596,1454.9,14750.0,42583.0,Success
30,100000,Timsort (built-in),Random Ints,748.6,0.000000749,71.9,625.0,9209.0,Success
30,100000,Timsort (custom),Random Ints,11925.0,0.000011925,1293.9,6542.0,43625.0,Success
30,100000,Radix Sort,Random Ints,8562.6,0.000008563,267.6,8166.0,27000.0,Success
30,100000,Counting Sort,Random Ints,17736.0,0.000017736,898.5,12792.0,44334.0,Success
30,100000,Shell Sort,Sorted Ints,3719.4,0.000003719,176.0,3500.0,19667.0,Success
30,100000,Heap Sort,Sorted Ints,2585.9,0.000002586,154.9,2458.0,19083.0,Success
30,100000,Merge Sort,Sorted Ints,17145.4,0.000017145,418.0,16583.0,48708.0,Success
30,100000,Quick Sort,Sorted Ints,20074.9,0.000020075,2491.5,15667.0,89750.0,Success
30,100000,Timsort (built-in),Sorted Ints,139.3,0.000000139,50.4,83.0,10375.0,Success
30,100000,Timsort (custom),Sorted Ints,1894.6,0.000001895,132.8,1750.0,18667.0,Success
30,100000,Radix Sort,Sorted Ints,5802.0,0.000005802,249.9,5583.0,25666.0,Success
30,100000,Counting Sort,Sorted Ints,4219.9,0.000004220,217.3,3958.0,20167.0,Success
30,100000,Shell Sort,Reverse Sorted,7195.3,0.000007195,267.4,6875.0,33000.0,Success
30,100000,Heap Sort,Reverse Sorted,2478.3,0.000002478,182.7,2333.0,25375.0,Success
30,100000,Merge Sort,Reverse Sorted,17714.5,0.000017715,418.5,17125.0,42875.0,Success
30,100000,Quick Sort,Reverse Sorted,20029.8,0.000020030,2535.5,15500.0,72750.0,Success
30,100000,Timsort (built-in),Reverse Sorted,136.9,0.000000137,57.1,83.0,9375.0,Success
30,100000,Timsort (custom),Reverse Sorted,21199.5,0.000021200,458.4,20541.0,51750.0,Success
30,100000,Radix Sort,Reverse Sorted,5827.5,0.000005828,235.0,5584.0,25250.0,Success
30,100000,Counting Sort,Reverse Sorted,4137.6,0.000004138,224.1,3958.0,20583.0,Success
30,100000,Shell Sort,Almost Sorted,4702.6,0.000004703,823.2,3625.0,20500.0,Success
30,100000,Heap Sort,Almost Sorted,2625.3,0.000002625,175.1,2458.0,17542.0,Success
30,100000,Merge Sort,Almost Sorted,17971.1,0.000017971,649.1,16917.0,89250.0,Success
30,100000,Quick Sort,Almost Sorted,20082.6,0.000020083,2608.0,15750.0,72125.0,Success
30,100000,Timsort (built-in),Almost Sorted,349.1,0.000000349,109.2,83.0,10375.0,Success
30,100000,Timsort (custom),Almost Sorted,2965.7,0.000002966,688.5,1833.0,16292.0,Success
30,100000,Radix Sort,Almost Sorted,5855.2,0.000005855,242.7,5625.0,25375.0,Success
30,100000,Counting Sort,Almost Sorted,4317.0,0.000004317,189.4,4083.0,22875.0,Success
30,100000,Shell Sort,Half Sorted,7100.3,0.000007100,562.2,5041.0,36334.0,Success
30,100000,Heap Sort,Half Sorted,2786.2,0.000002786,150.2,2583.0,15334.0,Success
30,100000,Merge Sort,Half Sorted,18838.3,0.000018838,450.2,17958.0,48750.0,Success
30,100000,Quick Sort,Half Sorted,16441.1,0.000016441,1548.4,11042.0,43500.0,Success
